text,pred,gold
"President Urges Nationwide Fight Against Inflation LOS ANGELES 111 a major national speech on the economy, President Nixon Thursday appealed to all citizens to exercise more restraint on their spending and vowed that the federal government would lead the way hy reducing the government s payroll eliminating 40,000 jobs during the current fiscal year.",['fiscal'],['demand' 'fiscal']
"Prices Increase Sharply; Best Year Since '67 BY LOUIS DOMBROWSKI--T'Ibil- P-~v -1-ie%VAbHINGTON, J a n. 21- Consumer prices, released from the restraint of the wage- price freeze, rose sharply last month but the year 1971 as a whole had the best inflation record since 1967, the Labor Department reported an increase in the December consumer price in- dex of 0.4 per cent from No- vember, the nation s cost of living last year rose 3A per cent.",['cost'],['fiscal']
"Primary among these causes were the unbalanced government budget, easy credit policies which encouraged spending b e y o n d earning power and the cost-push inflation inherent in wage rate increases in excess of productivity improvement.","['supply', 'wage', 'monetary', 'fiscal']",['demand' 'wage' 'fiscal']
Protect vour nest-egg against Inflation.,['savings'],['savings']
"Proxmire said a decision now to balance the budget would have a great psychological effect, sending out ""one clear unmistakable signal that this government means business about inflation.""","['expect', 'fiscal']",['expect' 'fiscal']
"REPUBLICAN NATIONAL Chairman Bill Brock said the ""American people face the prospect of a possible reces- sion"" if the inflation rate so high.","['savings', 'uncertain']",['purchase']
Republicans and Democrats will have much to say about the inflation which Democratic policies are now causing.,['fiscal'],['fiscal']
"Respite From Rises And C. Jackson, Grayson, chairman of the Price Commis'sion, has indicated that i,f meat prices rose too igh his would launch an inquiry into supermarket pricing. *s the consumer who has not switched to poultry.-a since the prices of other meats began to advance i --or to eggs 0r, cheese has been getting a respite from price advances which, kept pace with the Administration's efforts to curb inflation.",['cost'],['fiscal']
"Restricting credit card use between consenting adults wlll not restrain inflation, just as limiting the number of yardsticks will not affect the length of a yard.",['other-cause'],['demand']
Rising productivity leads to higher real wages and lessened inflation because output comes from the same amount of time worked.,['wage'],['supply']
SILVER BULLION From Liberty Metals Financial protection against worsening worsening Inflation from a company with lofty Ideas about why you deserve an edge of our deleriorating economy.,['savings'],['savings']
"Santa's Helpers only fund-raising fund-raising project, was JKI.lHHI, Kalhiesaid. and profits have increased each year Hut she pointed out that like everv-thing everv-thing else in these inflation ary tunes, toy prices are.riny (Vnter on Slockell dren come to the store to get i'P Street lor the Toy Shop.",['cost'],['cost']
"Saving money, getting a tax break, fighting vacation inflation and soaring real estate costs that sometimes prohibit owning a year-round vacation home--these are among the reasons thousands of vacationers during the last dec Vacation Plan May Be a Wave of the Future By BOBBIE JUSTICE Tlm Staff W""t Saving money, getting a tax break, fighting vacation in- flation and soaring real estate costs that sometimes - bit owning a year-round vacation home-these are among the reasons thousands of vacationers during the last dec- ade have bought a relatively new vacation concept time sharing.",['cost'],['cost' 'savings']
"Saying inflation is still a major problem, Rederal Reserve Chairman Arthur F. Burns recommended Thursday against any permanent tax cut and indicated his agency would not quickly ease credit to help the economy.","['savings', 'uncertain']",['rates']
"Secretary of the Treasington visit and, according to ury William E. Simon, highly placed German aide, ing to reports reaching here said that he had the impres- from Washington, may resign sion that President Ford would if there is a major switch in announce ""a whole series of on fighting inflation. measures to stimulate the Unit- A communique, issued as the ed States economy"" in his State Common Market summit the Union message next ing ended, said that Europeans month. had agreed to coordinate.",['uncertain'],['govt']
"Since most toll roads receive neither state nor federal funds, they must finance soaring maintenance costs and expansion programs out of their own annual revenues or by issuing bonds in a bond market demoralized by inflation.","['savings', 'cost-push']",['govt' 'savings']
"Since we are likely to have a recession with diminishing but substantial inflation well into next year, Congress will surely demand both stimulation and controls; the President will hold off as long as he can and until Congress is irrevocably committed; he will then take that ""popular road,"" which, after six months will infuriate labor and antagonize the consumer.","['social', 'uncertain']",['govt']
"So a Profit Rise Forecast Materials Shortages Forecast In 2nd Half NEW YORK, Aug. 5 (UPI) - Shortages Shortages of metals, chemicals and other materials are ""real reason for concern"" that the rate of inflation will increase in the second half of 1977, according to an economist for Manufacturers Hanover Trust Bank.",['supply'],['supply']
"Some observers believe that if the Administration Administration can point to progress in its fight against inflation, continued economic controls controls will prove acceptable at the polls next year. but the T e a m s t e r s Union, which announced announced this week that it supported Mr. Nixon's economic policy changes.",['fiscal'],['govt' 'social']
"Sound off In these times of inflation, about the only treat my husband and I can afford is an occasional sandwich out on weekends.",['cost'],['cost']
Stanley W. Black said high inflation would jrobably forestall recovery until 1981.,['uncertain'],['cost-push']
State officials said the increases were needed because of inflation.,['other-cause'],['govt']
"Talking about life insurance companies, he said theirs is ""a dreary story since new sales died as inflation went up... and that will hurt their cash flow drastically in future years.""",['savings'],['cost-push']
"That, in turn, would push the Federal Reserve further into a policy of raising interest rates to curb inflation, despite Chairman G. William Miller's ""hope"" that rates may soon level out.",['rates'],['rates']
"The American economy is currently surging forward under a tremendous head of steam, and the pressures of inflation inflation are currently at their highest level since the end of the Korean War.","['cost-push', 'uncertain']",['demand']
"The British specialty car maker. headed by American Kjell Qvale, said it decided on the move because of la- bor problems and rampant inflation.","['wage', 'cost-push']",['cost-push']
The Dow drops 4.86 NEW YORK - (AP) Slumping blue-chip Issues dragged the rest of the stock market down Thursday amid worries about increasing inflation inflation and the possibility of further interest rate rises.,"['rates', 'savings', 'uncertain']",['rates' 'uncertain']
"The accomplished more, hut, in the massive.s they ct, coating billions of dollars and conveying the false implication that only additional billions for achievement, they were in many ways more t Sponslble than the social scientists for the inflation of the); and public that is now.","['govt', 'social']",['fiscal']
"The basic aim of the legisla- tion, which Mr. Romney said was ""noncontroversial"" and had bipartisan support, is to shore up the sagging housing industry, hit hard by inflation.",['cost-push'],['savings']
"The basic tenet of the populist credo is that THEODORE J. JACOBS is executive director of the Center for Study of Responsive Law in Washington. economic concentration causes and perpetuates many of our domestic problems, including everyday ills such as inflation and overpricing.",['other-cause'],['other-cause']
The broker rate is the interest charged on loans used in se curities purchases and is an indicator of what may happen to other rates The persistence of inflation will make it difficult for the Federal Re serve to loosen credit as it might be expected to do in slowing economy In addition fiscal stimulus probably will be limited as well Parry said Security Pacific forecast peak in interest rates by year end with the prime bank lending rate topping out at roughly 13V% and the federal funds rate rising to about 1194%.,"['rates', 'uncertain']",['fiscal' 'rates']
The central bank has been enforcing a harsh credit squeeze in an effort to halt inflation.,['monetary'],['monetary']
The central bank noted the lack of inflation despite the jump in the money supply and said no growth target would be set for this year.,['monetary'],['monetary']
"The construction industry has been beset in recent years by inflation, managerial and technological technological inefficiencies and problems of labor supply and utilization.","['supply', 'cost-push']",['cost-push']
"The credit, to be in West Ger man Marks, French francs and Austrian schillings, is to help Peru meet its interna tional payments while attempting to bring Inflation under control.",['trade'],['international']
"The direct cause of inflation is the growth of the money supply, he explained.",['monetary'],['monetary']
"The effect of the Administration's efforts to slow inflation may 'squeeze corporate profits by as much as 15 to 205%,' he said, but added that 'Litton is much more optimistic about its own future than many other companies are.' 'Sometime next year, the nation will begin a prolonged, unprecedent- ed period of growth, and we at Litton expect our company to grow at a much faster pace than the rest of the economy.*",['cost-push'],['fiscal']
"The former President's secrecy about the war buildup and the related delay in tax policy, according to critics, started the nation down the road to troublesome inflation.",['fiscal'],['fiscal']
"The gains must be even larger in the bigger tax brackets which, we all are finding, are the ones inflation is forcing us into.",['redistribution'],['govt']
"The government, Britain's biggest employer, is offering offering 5 percent in line with its anti-inflation anti-inflation wage restraint policy.",['wage'],['wage']
"The inflation package also drew support from Federal Reserve Chairman G. William Miller, who described it as a ""balanced, concerted and sustained program to fight inflation"" in a speech Wednesday night.",['monetary'],['fiscal']
The labor federation assailed President Carter's anti-inflation policies when they were unveiled last October charging that workers' would carry the burden of sacri- fice.,['social'],['cost' 'social']
The miners foave been bought off with a pay increase of more than 20 nearly three times the figure laid down in the government's anti-inflation strategy.,"['wage', 'govt']",['fiscal']
The move is intended to curb inflation by cutting government spending.,['fiscal'],['fiscal']
"The outgoing president, Franco Modigliani of the Massachusetts Institute of Technology, charged that the recent steep recession was a result of the Federal Reserve Board's refusal to let the money supply expand to accommodate the sudden and ""unavoidable"" inflation resulting from the energy and food crises.","['supply', 'monetary']",['supply']
The picketing and boycotting of chain supermarkets by housewives as a protest against inflation must be set down as one of the ironies of these confused times.,['social'],['social' 'cost-push']
"The problem of liquidating big inventories is still ahead. the 14.4 per cent increase in the inflation rate in the fourth quarter of 1974 was higher than expected, there are definite signs of price increases slowing.","['cost-push', 'uncertain']",['cost-push']
"The requirements that LETTERS TO THE EDITOR Senior Citizen Complaint It takes little more than a grade-school grade-school education to realize that inflation inflation today can be laid directly at the door of Mr. Carter's administration administration and his cohort, the spendthrift Democratic-controlled Congress.",['fiscal'],['fiscal']
The risks of prolonging the recession are not as horrible as the risks of another bout of accelerating inflation - followed by an even worse recession.,['uncertain'],['uncertain']
"The severe winter was held partly to blame for the higher food,prices; but. the sharpness of the increas2s v-caught the CaXter Admiriisfration off, guard:':, Demands that the:'President consider bolder anti- action were especially urgent because the.rise. in food prices was accompanied by increases in the: minimum wage' and Social; Security taxes;.' could cause more inflation later.::because they add directly to cost pressures.","['supply', 'wage']",['wage' 'fiscal' 'cost-push']
The spur to keep up with inflation has hiked sales.,['other-effect'],['cost-push']
The system is threatened because of high inflation inflation and unemployment and a 1972 congressional mistake in twice compensating future retirees for inflation.,['social'],['govt']
"The triple crises of food shortages, inflation and oil prices threaten to engulf the traditional structure of international relations.","['supply', 'other-cause']",['social' 'trade']
"Then, tax reduction would be an open invitation to inflation, to a re- newed price-wage spiral, and would threaten our hard-won balance of payments improve- ment.","['wage', 'fiscal', 'trade']",['wage' 'fiscal']
"These ""rising risks,"" he added, put increased downward downward pressure on the economy economy and increase the danger I oi a cumulative, accelerat- lng decline in real Income. 1 In other words, uncertainty and lack of confidence be cause of Inflation leads to recessionary pressures which produce more uncertainty uncertainty and lack of confidence.","['redistribution', 'uncertain']",['social' 'uncertain']
These concerns--inflation and dependence on imported oil--cannot be postponed.,"['uncertain', 'other-effect']",['social']
"These sentiments, together with the well-founded suspicion that inflation often goes hand-in-hand with outsize budget deficits, lend support to the President's position of moderation in the pursuit of expansion.""",['fiscal'],['govt']
"These services and subsidies were beyond the state s fiscal capability and were in the long run self-defeating, as they contributed to increased inflation.",['fiscal'],['fiscal']
"They burble enthusiastically about housing stability, a good investment, a hedge against inflation and future resale possibilities for their apartments.",['savings'],['savings']
"They cover the period of his pardon of Richard Nixon, the withdrawn withdrawn nominations of Peter Flanigan and Andrew Gibson, Gibson, the political campaigning campaigning of a President who might better have stayed in Washington to mind the shop, and the anti-inflation conference in September in which he pinpointed inflation as the nation's No. 1 enemy and enunciated a timid, conservative policy to combat it.","['govt', 'social']",['fiscal' 'govt']
They would not demand a paid-in-advance inflation premium in the interest rate on bonds.,"['savings', 'uncertain']",['savings']
Tight credit was supposed to cure inflation.,['monetary'],['monetary']
"To defeat inflation, the government will have to reverse its course of many years and spend less money than it takes in--not just once but for a number of years to come--Treasury Secretary William E. Simon said today.",['fiscal'],['fiscal']
"To some analysts, the wheel-spinning Carter did in his first two years in office only made inflation more difficult to deal with.","['govt', 'uncertain']",['fiscal']
"Too late, bank officials discovered that the German 100,000-mark note Holcomb had given them was completely worthless, printed during the peak of Germany's post-World War I inflation.",['savings'],['purchase']
"Travelers can find bargains Inflation has spread gloom over the nation's economy, but budget-minded air travelers can and are finding bargains to work in a vacation to California, the Rockies, the Pacific Northwest and other popular summer vacation meccas.","['savings', 'uncertain']",['cost' 'social']
"Under present law, Mr. Nivon would have to fend for himself, struggling against the ""ceiling"" and also against the sizable budget deficit that he deems harmful to the battle against inflation.",['fiscal'],['fiscal']
Variable annuities are designed to protect against inflation eating up fixed annuity values.,['savings'],['redistribution' 'savings']
WARSON ROAD INDUSTRIAL PARK ADJACENT TO CITY PARK IN OLIVETTE ONLY 6 LOTS REMAIN ONE AND TWO ACRE TRACTS FIGHT INFLATION... 3-YEAR FINANCING AVAILABLE ON LOT PURCHASE BUY NOW BUILD LATER OR WE WILL BUILD FOR YOU NOW.,['savings'],['savings']
"WASHINGTON, Dec. 21 A burst of inflation in some food prices and markups for Toyota cars imported from Japan helped propel the Consumer Price Index to an increase in November of one-half of 1 percent, more than in any of the preceding four months, the Government reported today.","['supply', 'international']",['supply' 'international']
"We are the world s largest exporter and importer, and instability in the United States-whether it involves inflation or recession-has unsettling effects on the world economy.","['social', 'trade']",['trade']
"We have filed for the increase so that we can assure adequate earnings to attract investors investors in a money market which, like everything everything else, has felt the impact of inflation.","['savings', 'other-effect']",['savings']
"We're getting to the point where the earlier money-supply growth is going to come out in higher inflation, probably 7,' to 10% by the end of this year.",['monetary'],['monetary']
Welfare economics fights inflation by feeding it!,['fiscal'],['fiscal']
What bothers these critics is that the uncertainty connected with floating rates raises the cost of doing business abroad; they also charge that floating rates make it more difficult to contain word inflation.,"['cost-push', 'uncertain']",['international']
What kind of prosperity is ours with an approximately 300 billion dollar debt hanging over destroying inflation doing its subtle but deadly work?,"['savings', 'uncertain']",['fiscal']
What's News Business and Finance Spending cuts by the government appear more likely as a response to soaring inflation.,['fiscal'],['govt']
"When you've done the best you can with this ""thought transference,"" transference,""set about demonstrating the qualities you, as a lender, have emphasized emphasized as significant. phase of business downturn and steep Inflation, will seek some ""insurance""""insurance""to protect his money In the event your enterprise falters and possibly goes under.","['savings', 'uncertain']",['redistribution' 'cost-push']
"While income redistribution and non-indexed taxes are the problems I see associated with our in- flation, the public s hue and cry about inflation ap- pears to have little to do with these issues.",['redistribution'],['govt' 'redistribution' 'social']
"While racial change inches along, there is an ominous mood among the estimated 1.25 million blacks in Soweto, the segregated township outside Johannesburg: Inflation and sheer despair at not seeing signs of improvement in their lot are taking their toll.",['social'],['social']
"Workers are to get what has been called 100 percent protection against inflation, and market analysts say that assurance will only make it more difficult for the country to curb inflationary expectations, The Federal Open Market Committee, the 12-person group that meets 10 times a year to set monetary policy, will gather tomorrow In Washington, and the auto industry settlement will make the deliberations difficult.","['wage', 'expect']",['wage']
"You'll find answers on page 35. 1973: A year of inflation All year long, inflation ate away at the dollar.",['purchase'],['purchase']
"she said,""but the old folks are still caught in an inflation squeeze.",['cost'],['cost' 'redistribution']
